headline,abstract,desk,locations,word_count,snippet,source,subjects,url,section,date,type,id
Corrections,"Correction of Dec 31 article and map about Yemeni ancestral home of Osama bin Laden, suspected terrorist; name of town is Al Rubat, not Al-Ribat",Metropolitan Desk,"[u'YEMEN', u'AL-RIBAT (YEMEN)', u'AL RUBAT (YEMEN)']",45,"An article and a map yesterday referred inconsistently to the Yemeni ancestral home of Osama bin Laden, the man wanted by the F.B.I. on suspicion of organizing terror attacks against American targets. The Times's preferred rendering of the Arabic...",The New York Times,"[u'CORRECTION STORIES', u'TERRORISM']",http://www.nytimes.com/2001/01/01/nyregion/c-corrections-240559.html,Corrections; New York and Region,2001-01-01,Correction,4fd2050d8eb7c8105d76cd5e
First Day of Jury Selection In U.S. Embassy Bombings,"More than two years after deadly bombings of two United States Embassies in East Africa, jury selection begins in trial of four men charged with conspiring with Saudi exile Osama bin Laden to carry out those attacks and others against Americans abroad; tight security in courtroom described (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",800,"More than two years after the deadly bombings of two United States Embassies in East Africa, jury selection begins today in the trial of four men charged with conspiring with the Saudi exile Osama bin Laden to carry out those attacks and others...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'CAPITAL PUNISHMENT', u'TERRORISM']",http://www.nytimes.com/2001/01/03/nyregion/first-day-of-jury-selection-in-us-embassy-bombings.html,Washington; New York and Region,2001-01-03,News,4fd2238b8eb7c8105d7a90ce
Jury Selection in Embassy Bombing Case Faces Hardship Challenges,"Jury selection in trial of four men charged with conspiring in 1998 bombings of two United States embassies in East Africa opens in Federal District Court, Manhattan, amid challenge of finding jurors who can endure personal hardships that come from setting aside their lives for at least ten months; photo (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'DAR ES SALAAM (TANZANIA)', u'AFGHANISTAN']",851,Jury selection in the trial of four men charged with conspiring in the 1998 bombings of two United States embassies in East Africa opened yesterday amid the challenge of finding jurors who can endure the personal hardships that come from setting...,The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'UNITED STATES FOREIGN SERVICE', u'CAPITAL PUNISHMENT', u'TERRORISM']",http://www.nytimes.com/2001/01/04/nyregion/jury-selection-in-embassy-bombing-case-faces-hardship-challenges.html,Washington; New York and Region,2001-01-04,News,4fd2105e8eb7c8105d7845e8
Yemen Cites Complicity of 6 in Cole Attack,Interior Min Hussein Muhammad Arab says Yemen has proof that six people in custody were involved in attack on American warship Cole in October and is questioning more suspects; Yemeni officials say six suspects will stand trial this month; Pres Ali Abdullah Saleh says authorities are still looking for key suspect and that it is possible Osama bin Laden was involved (M),Foreign Desk,[u'YEMEN'],216,"Yemen has proof that six people in custody were involved in the attack on an American warship in Aden in October and is questioning more suspects, Interior Minister Hussein Muhammad Arab said in remarks published today.    Mr. Arab told a government...",Reuters,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'COLE (USS)', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/01/05/world/yemen-cites-complicity-of-6-in-cole-attack.html,World,2001-01-05,News,4fd24f868eb7c8105d7f2294
U.S. Embassy In Rome Sends Staff Home After Threat,"US Embassy in Rome sends most of its employees home after learning of threat from Islamic terrorists, reportedly from people associated with Osama bin Laden's organization, Al Qaeda (S)",Foreign Desk,"[u'ITALY', u'ROME (ITALY)']",321,"Citing security concerns, the United States Embassy in Rome sent most of its employees home for the day yesterday. ''We had credible information and we decided as a precaution to close down the embassy,'' a spokesman for the embassy said.    The...",The New York Times,"[u'THREATS AND THREATENING MESSAGES', u'TERRORISM']",http://www.nytimes.com/2001/01/06/world/us-embassy-in-rome-sends-staff-home-after-threat.html,World,2001-01-06,News,4fd20bbf8eb7c8105d77a634
Security Threat Keeps U.S. Embassy in Rome Closed,"US Embassy in Rome, Italy, remains closed for morning of January 8 after security threat prompted it to close abruptly on January 5 (S)",Foreign Desk,"[u'ITALY', u'ROME (ITALY)']",291,The American embassy will remain closed Monday morning after a security threat that prompted the embassy to close abruptly on Friday.    ''We will meet tomorrow to evaluate the situation and determine whether to open Monday afternoon or sometime...,The New York Times,"[u'ITALY-INTERNATIONAL RELATIONS-US', u'UNITED STATES INTERNATIONAL RELATIONS', u'UNITED STATES FOREIGN SERVICE', u'TERRORISM']",http://www.nytimes.com/2001/01/08/world/security-threat-keeps-us-embassy-in-rome-closed.html,World; Washington,2001-01-08,News,4fd210628eb7c8105d784957
Cole Suspect Tells of Link To bin Laden,"One of three prime suspects in attack on American warship Cole in Aden, Yemen, reportedly tells authorities in confession he believes two suicide bombers had acted on orders of Osama bin Laden (S)",Foreign Desk,"[u'YEMEN', u'ADEN (YEMEN)']",294,"A prime suspect in the attack on the American warship Cole told the authorities in his confession that he believed that the two suicide bombers had acted on the orders of Osama bin Laden, Yemeni officials close to the investigation said today.    The...",AP,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'UNITED STATES-INTERNATIONAL RELATIONS-YEMEN', u'COLE (USS)', u'TERRORISM', u'UNITED STATES ARMAMENT AND DEFENSE']",http://www.nytimes.com/2001/01/09/world/cole-suspect-tells-of-link-to-bin-laden.html,World,2001-01-09,News,4fd21e5c8eb7c8105d7a0539
Bin Laden Shown on TV Tape Smiling at His Son's Wedding,"Osama bin Laden, wanted by United States on terrorism charges, appears happy and smiling at his son's wedding in Afghanistan in videotape shown on Arab satellite channel (M)",Foreign Desk,[u'AFGHANISTAN'],283,"Osama bin Laden, wanted by the United States on terrorism charges, appeared happy and smiling at his son's wedding in Afghanistan in a videotape shown today on an Arab satellite channel.    The channel, Al Jazeera, said the wedding of the son,...",AP,[u'TERRORISM'],http://www.nytimes.com/2001/01/11/world/bin-laden-shown-on-tv-tape-smiling-at-his-son-s-wedding.html,World,2001-01-11,News,4fd21e618eb7c8105d7a082a
NEWS SUMMARY,,Metropolitan Desk,[],1045,INTERNATIONAL   A3-6    Clinton Prods Both Sides In Bid for Mideast Pact  Clinton administration officials are trying to instill a sense of urgency in Mideast peace talks by reminding Israeli and Palestinian officials that the incoming Bush...,The New York Times,[],http://www.nytimes.com/2001/01/13/nyregion/news-summary-422754.html,New York and Region,2001-01-13,Summary,4fd20f088eb7c8105d781386
U.S. to Offer Detailed Trail Of bin Laden in Bomb Trial,"Prosecutors in trial of four men charged in bombing of American Embassies in Kenya and Tanzania will present American government's most exhaustive portrait of what they contend is terrorist operation of Osama bin Laden; will reveal years of hard-won investigative breakthroughs that they say produced enough evidence three months before bombings to indict bin Laden in ambush killings of American troops in Somalia in 1993; those breakthrough, however, were not enough to prevent alleged conspirators from carrying out deadly assault on American Embassies; photos (M)",Metropolitan Desk,"[u'NAIROBI (KENYA)', u'KENYA', u'TANZANIA', u'SOMALIA', u'DAR ES SALAAM (TANZANIA)']",1582,"By the late spring of 1996, American intelligence learned that a group of Muslim extremists bent on Holy War against the United States had established a base in Nairobi, Kenya, the government says. The authorities believed that the operatives were...",The New York Times,"[u'UNITED STATES INTERNATIONAL RELATIONS', u'BOMBS AND EXPLOSIVES', u'TERRORISM']",http://www.nytimes.com/2001/01/13/nyregion/us-to-offer-detailed-trail-of-bin-laden-in-bomb-trial.html,Front Page; Washington; New York and Region,2001-01-13,News,4fd21e618eb7c8105d7a086b
