headline,date,section,url,word_count
Credible Threat,2001-09-02,Magazine; Books,http://www.nytimes.com/2001/09/02/magazine/lives-credible-threat.html,875
Backfire; How Not to Win the Battle but Lose the War,2001-09-02,Week in Review,http://www.nytimes.com/2001/09/02/weekinreview/backfire-how-not-to-win-the-battle-but-lose-the-war.html,1208
"Afghans Present Aid Team's Sins, Complete With Theology Lesson",2001-09-07,World; Front Page; Washington,http://www.nytimes.com/2001/09/07/world/afghans-present-aid-team-s-sins-complete-with-theology-lesson.html,1178
Reports Disagree on Fate of Anti-Taliban Rebel Chief,2001-09-11,World; Washington,http://www.nytimes.com/2001/09/11/world/reports-disagree-on-fate-of-anti-taliban-rebel-chief.html,668
A Trend Toward Attacks That Emphasize Deaths,2001-09-12,U.S.; Washington,http://www.nytimes.com/2001/09/12/us/a-day-of-terror-the-background-a-trend-toward-attacks-that-emphasize-deaths.html,888
"Condemning Attacks, Taliban Says bin Laden Not Involved",2001-09-12,U.S.,http://www.nytimes.com/2001/09/12/us/day-terror-afghans-condemning-attacks-taliban-says-bin-laden-not-involved.html,768
America the Vulnerable Meets a Ruthless Enemy,2001-09-12,U.S.; Washington,http://www.nytimes.com/2001/09/12/us/a-day-of-terror-the-militant-america-the-vulnerable-meets-a-ruthless-enemy.html,1047
When an Open Society Is Wielded as a Weapon Against Itself,2001-09-12,U.S.; Washington,http://www.nytimes.com/2001/09/12/us/day-terror-assessment-when-open-society-wielded-weapon-against-itself.html,1165
Boston's Airport Security Is Described as Standard,2001-09-12,U.S.,http://www.nytimes.com/2001/09/12/us/a-day-of-terror-security-boston-s-airport-security-is-described-as-standard.html,1021
"As an Attack Unfolds, A Struggle to Provide Vivid Images to Homes",2001-09-12,U.S.,http://www.nytimes.com/2001/09/12/us/day-terror-media-attack-unfolds-struggle-provide-vivid-images-homes.html,1127
President Vows to Exact Punishment for 'Evil',2001-09-12,Front Page; U.S.; Washington,http://www.nytimes.com/2001/09/12/us/us-attacked-president-vows-to-exact-punishment-for-evil.html,2603
Correspondent; America's Emergency Line: 9/11,2001-09-12,Opinion,http://www.nytimes.com/2001/09/12/opinion/correspondent-america-s-emergency-line-9-11.html,747
A Somber Bush Says Terrorism Cannot Prevail,2001-09-12,Front Page; U.S.; Washington,http://www.nytimes.com/2001/09/12/us/a-day-of-terror-the-president-a-somber-bush-says-terrorism-cannot-prevail.html,1373
"Condemnations From Arab Governments, but Widely Different Attitudes on the Street",2001-09-12,U.S.,http://www.nytimes.com/2001/09/12/us/day-terror-arabs-condemnations-arab-governments-but-widely-different-attitudes.html,608
Bush Aides Say Attacks Don't Recast Shield Debate,2001-09-12,U.S.; Washington,http://www.nytimes.com/2001/09/12/us/a-day-of-terror-the-threat-bush-aides-say-attacks-don-t-recast-shield-debate.html,739
