headline,date,section,url,word_count
Corrections,2001-01-01,Corrections; New York and Region,http://www.nytimes.com/2001/01/01/nyregion/c-corrections-240559.html,45
First Day of Jury Selection In U.S. Embassy Bombings,2001-01-03,Washington; New York and Region,http://www.nytimes.com/2001/01/03/nyregion/first-day-of-jury-selection-in-us-embassy-bombings.html,800
Jury Selection in Embassy Bombing Case Faces Hardship Challenges,2001-01-04,Washington; New York and Region,http://www.nytimes.com/2001/01/04/nyregion/jury-selection-in-embassy-bombing-case-faces-hardship-challenges.html,851
Yemen Cites Complicity of 6 in Cole Attack,2001-01-05,World,http://www.nytimes.com/2001/01/05/world/yemen-cites-complicity-of-6-in-cole-attack.html,216
U.S. Embassy In Rome Sends Staff Home After Threat,2001-01-06,World,http://www.nytimes.com/2001/01/06/world/us-embassy-in-rome-sends-staff-home-after-threat.html,321
Security Threat Keeps U.S. Embassy in Rome Closed,2001-01-08,World; Washington,http://www.nytimes.com/2001/01/08/world/security-threat-keeps-us-embassy-in-rome-closed.html,291
Cole Suspect Tells of Link To bin Laden,2001-01-09,World,http://www.nytimes.com/2001/01/09/world/cole-suspect-tells-of-link-to-bin-laden.html,294
Bin Laden Shown on TV Tape Smiling at His Son's Wedding,2001-01-11,World,http://www.nytimes.com/2001/01/11/world/bin-laden-shown-on-tv-tape-smiling-at-his-son-s-wedding.html,283
NEWS SUMMARY,2001-01-13,New York and Region,http://www.nytimes.com/2001/01/13/nyregion/news-summary-422754.html,1045
U.S. to Offer Detailed Trail Of bin Laden in Bomb Trial,2001-01-13,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/01/13/nyregion/us-to-offer-detailed-trail-of-bin-laden-in-bomb-trial.html,1582
One Man and a Global Web of Violence,2001-01-14,World,http://www.nytimes.com/2001/01/14/world/one-man-and-a-global-web-of-violence.html,6228
The Bush Years; W.'s World,2001-01-14,Magazine; Washington,http://www.nytimes.com/2001/01/14/magazine/the-bush-years-w-s-world.html,4973
NEWS SUMMARY,2001-01-14,New York and Region,http://www.nytimes.com/2001/01/14/nyregion/news-summary-437697.html,477
NEWS SUMMARY,2001-01-15,New York and Region,http://www.nytimes.com/2001/01/15/nyregion/news-summary-447072.html,1139
Dissecting a Terror Plot From Boston to Amman,2001-01-15,World; Front Page,http://www.nytimes.com/2001/01/15/world/dissecting-a-terror-plot-from-boston-to-amman.html,3084
"Killing for the Glory of God, In a Land Far From Home",2001-01-16,World; Front Page; Washington,http://www.nytimes.com/2001/01/16/world/killing-for-the-glory-of-god-in-a-land-far-from-home.html,2906
No Headline,2001-01-16,World,http://www.nytimes.com/2001/01/16/world/no-headline-451355.html,565
Killing for a Cause,2001-01-17,U.S.,http://learning.blogs.nytimes.com/2001/01/17/killing-for-a-cause/,1898
C.I.A. Chief Is Asked to Stay On and Agrees,2001-01-17,U.S.; Washington,http://www.nytimes.com/2001/01/17/us/cia-chief-is-asked-to-stay-on-and-agrees.html,733
"Embassy Suspect Warned U.S. of Yemen Attack, Papers Show",2001-01-18,World; Washington,http://www.nytimes.com/2001/01/18/world/embassy-suspect-warned-us-of-yemen-attack-papers-show.html,545
Terror Trial Judge to Again Weigh Suppression of Statement,2001-01-19,New York and Region,http://www.nytimes.com/2001/01/19/nyregion/terror-trial-judge-to-again-weigh-suppression-of-statement.html,704
Public Barred From Hearing in Bombing Trial,2001-01-20,Washington; New York and Region,http://www.nytimes.com/2001/01/20/nyregion/public-barred-from-hearing-in-bombing-trial.html,622
Cohen Says The Blame For the Cole Is Collective,2001-01-20,World; Washington,http://www.nytimes.com/2001/01/20/world/cohen-says-the-blame-for-the-cole-is-collective.html,771
U.S. Faces Tough Challenge to Statements in Terrorism Case,2001-01-25,Washington; New York and Region,http://www.nytimes.com/2001/01/25/nyregion/us-faces-tough-challenge-to-statements-in-terrorism-case.html,780
U.S. Legal Obligations to Suspects Are Questioned in Bombing Case,2001-01-27,New York and Region,http://www.nytimes.com/2001/01/27/nyregion/us-legal-obligations-to-suspects-are-questioned-in-bombing-case.html,1198
WORLD BRIEFING,2001-01-30,World,http://www.nytimes.com/2001/01/30/world/world-briefing.html,862
KENYA STATEMENTS IN TERRORISM CASE ALLOWED BY JUDGE,2001-01-30,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/01/30/nyregion/kenya-statements-in-terrorism-case-allowed-by-judge.html,1055
The Cole Investigation Proves Frustrating,2001-02-01,World; Washington,http://www.nytimes.com/2001/02/01/world/the-cole-investigation-proves-frustrating.html,1124
Courts a Limited Anti-Terror Weapon,2001-02-01,World,http://www.nytimes.com/2001/02/01/world/the-lockerbie-verdict-news-analysis-courts-a-limited-anti-terror-weapon.html,712
"Going on Trial: U.S. Accusations Of a Global Plot; In Embassy Bombings Case, The Specter of a Mastermind",2001-02-04,Washington; New York and Region,http://www.nytimes.com/2001/02/04/nyregion/going-trial-us-accusations-global-plot-embassy-bombings-case-specter-mastermind.html,1665
NEWS SUMMARY,2001-02-04,New York and Region,http://www.nytimes.com/2001/02/04/nyregion/news-summary-762806.html,638
INSIDE,2001-02-05,Front Page; New York and Region,http://www.nytimes.com/2001/02/05/nyregion/inside-772828.html,133
NEWS SUMMARY,2001-02-05,New York and Region,http://www.nytimes.com/2001/02/05/nyregion/news-summary-771678.html,1072
Secret Witness Set to Testify In Terror Trial,2001-02-05,Washington; New York and Region,http://www.nytimes.com/2001/02/05/nyregion/secret-witness-set-to-testify-in-terror-trial.html,1225
Victims' Relatives Remember and Wait,2001-02-06,Washington; New York and Region,http://www.nytimes.com/2001/02/06/nyregion/victims-relatives-remember-and-wait.html,773
The Embassy Bombings Trial,2001-02-06,Opinion,http://www.nytimes.com/2001/02/06/opinion/the-embassy-bombings-trial.html,573
Suspect Admits Helping Make Embassy Bomb,2001-02-06,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/02/06/nyregion/suspect-admits-helping-make-embassy-bomb.html,1224
NEWS SUMMARY,2001-02-07,New York and Region,http://www.nytimes.com/2001/02/07/nyregion/news-summary-800457.html,1086
Ex-Aide to bin Laden Describes Terror Campaign Aimed at U.S.,2001-02-07,Front Page; Washington; New York and Region,http://www.nytimes.com/2001/02/07/nyregion/ex-aide-to-bin-laden-describes-terror-campaign-aimed-at-us.html,1450
"Taliban Seem to Be Making Good on Opium Ban, U.N. Says",2001-02-07,World,http://www.nytimes.com/2001/02/07/world/taliban-seem-to-be-making-good-on-opium-ban-un-says.html,585
Jury Questionnaire Fills in a Few Blanks,2001-02-08,Washington; New York and Region,http://www.nytimes.com/2001/02/08/nyregion/jury-questionnaire-fills-in-a-few-blanks.html,812
WITNESS DESCRIBES BREAK WITH GROUP LED BY BIN LADEN,2001-02-08,Front Page; New York and Region,http://www.nytimes.com/2001/02/08/nyregion/witness-describes-break-with-group-led-by-bin-laden.html,1251
C.I.A. Chief Sees Russia Trying to Revive Its Challenge to U.S.,2001-02-08,World; Washington,http://www.nytimes.com/2001/02/08/world/cia-chief-sees-russia-trying-to-revive-its-challenge-to-us.html,541
February 4-10; Bombing Trial Opens,2001-02-11,Week in Review,http://www.nytimes.com/2001/02/11/weekinreview/february-4-10-bombing-trial-opens.html,103
Cautious U.S. Hope on Report of Lower Afghan Opium Crop,2001-02-11,World,http://www.nytimes.com/2001/02/11/world/cautious-us-hope-on-report-of-lower-afghan-opium-crop.html,489
Time-Tested Defense Expected as Terrorism Witness Returns,2001-02-12,Washington; New York and Region,http://www.nytimes.com/2001/02/12/nyregion/time-tested-defense-expected-as-terrorism-witness-returns.html,1116
NEWS SUMMARY,2001-02-12,New York and Region,http://www.nytimes.com/2001/02/12/nyregion/news-summary-876208.html,1325
"Dozens of Afghans Are Dying in the Cold, U.N. Says",2001-02-13,World; Washington,http://www.nytimes.com/2001/02/13/world/dozens-of-afghans-are-dying-in-the-cold-un-says.html,954
Terror Exports Are the Business Of Jihad Inc.,2001-02-13,Washington; New York and Region,http://www.nytimes.com/2001/02/13/nyregion/terror-exports-are-the-business-of-jihad-inc.html,820
NEWS SUMMARY,2001-02-14,New York and Region,http://www.nytimes.com/2001/02/14/nyregion/news-summary-905887.html,1018
BUSH DETAILS PLAN TO FOCUS MILITARY ON NEW WEAPONRY,2001-02-14,Front Page; U.S.,http://www.nytimes.com/2001/02/14/us/bush-details-plan-to-focus-military-on-new-weaponry.html,1417
Defense Grills Terror Witness On bin Laden,2001-02-14,Washington; New York and Region,http://www.nytimes.com/2001/02/14/nyregion/defense-grills-terror-witness-on-bin-laden.html,1083
