headline,date,section,url,word_count,id
"As the 'American Century' Extends Its Run,",1/1/00,Washington,http://www.nytimes.com/2000/01/01/washington/visions-power-as-the-american-century-extends-its-run.html,1142,1
Pakistan Welcomes Hijacking's End and Praises the Taliban,1/1/00,World,http://www.nytimes.com/2000/01/01/world/pakistan-welcomes-hijacking-s-end-and-praises-the-taliban.html,417,2
"With Fears Of Terrorism, Precautions Will Continue",1/2/00,World,http://www.nytimes.com/2000/01/02/world/the-year-2000-keeping-watch-with-fears-of-terrorism-precautions-will-continue.html,723,3
The New Face of Terrorism,1/4/00,Opinion,http://www.nytimes.com/2000/01/04/opinion/the-new-face-of-terrorism.html,835,4
New York Experts Taking Wider Role in Terror Inquiry,1/6/00,New York and Region,http://www.nytimes.com/2000/01/06/nyregion/new-york-experts-taking-wider-role-in-terror-inquiry.html,454,5
Terrorists' Support,1/6/00,Opinion,http://www.nytimes.com/2000/01/06/opinion/l-terrorists-support-221732.html,92,6
Judge Upholds Strict Jail Conditions for Suspect in Bin Laden Case,1/11/00,New York and Region,http://www.nytimes.com/2000/01/11/nyregion/judge-upholds-strict-jail-conditions-for-suspect-in-bin-laden-case.html,518,7
Canada Adds Details on Algerians' Suspected Bomb Plot,1/21/00,World,http://www.nytimes.com/2000/01/21/world/canada-adds-details-on-algerians-suspected-bomb-plot.html,949,8
NEWS SUMMARY,1/23/00,New York and Region,http://www.nytimes.com/2000/01/23/nyregion/news-summary-482897.html,865,9
Prosecutors Portray the Strands Of a Bin Laden Web of Terror,1/23/00,World; Washington,http://www.nytimes.com/2000/01/23/world/prosecutors-portray-the-strands-of-a-bin-laden-web-of-terror.html,1923,10
U.S. Asserts Pakistan Backed Hijacking of Air India Jetliner,1/25/00,World; Front Page,http://www.nytimes.com/2000/01/25/world/us-asserts-pakistan-backed-hijacking-of-air-india-jetliner.html,1203,11
"Pakistanis Lost Control Of Militants, U.S. Hints",1/26/00,World; Washington,http://www.nytimes.com/2000/01/26/world/pakistanis-lost-control-of-militants-us-hints.html,735,12
EVIDENCE IS SEEN LINKING BIN LADEN TO ALGERIAN GROUP,1/27/00,World; Front Page; Washington,http://www.nytimes.com/2000/01/27/world/evidence-is-seen-linking-bin-laden-to-algerian-group.html,1080,13
NEWS SUMMARY,1/27/00,New York and Region,http://www.nytimes.com/2000/01/27/nyregion/news-summary-545066.html,1146,14
NEWS SUMMARY,1/29/00,New York and Region,http://www.nytimes.com/2000/01/29/nyregion/news-summary-580368.html,1210,15
Terror Suspect Is Rearrested In Africa at U.S. Request,1/29/00,World,http://www.nytimes.com/2000/01/29/world/terror-suspect-is-rearrested-in-africa-at-us-request.html,842,16
January 23-29; New Focus in Terror Probe,1/30/00,Week in Review,http://www.nytimes.com/2000/01/30/weekinreview/january-23-29-new-focus-in-terror-probe.html,115,17
Jordan Links Terrorist Plot to bin Laden,2/4/00,World; Washington,http://www.nytimes.com/2000/02/04/world/jordan-links-terrorist-plot-to-bin-laden.html,903,18
NEWS SUMMARY,2/4/00,New York and Region,http://www.nytimes.com/2000/02/04/nyregion/news-summary-670103.html,1208,19
C.I.A. Director Emphasizes Differences in Security Cases of Ex-Chief and Scientist,2/4/00,Technology; U.S.,http://www.nytimes.com/2000/02/04/us/cia-director-emphasizes-differences-in-security-cases-of-ex-chief-and-scientist.html,859,20
Learning How To Be King,2/6/00,Magazine,http://www.nytimes.com/2000/02/06/magazine/learning-how-to-be-king.html,8329,21
Afghan Jet Hijacked on Odyssey Across Central Asia to London,2/7/00,World,http://www.nytimes.com/2000/02/07/world/afghan-jet-hijacked-on-odyssey-across-central-asia-to-london.html,451,22
U.S. Court Can Be Large Family and Small World,2/13/00,New York and Region,http://www.nytimes.com/2000/02/13/nyregion/reporter-s-notebook-us-court-can-be-large-family-and-small-world.html,926,23
The Hackers' Lessons,2/15/00,Opinion,http://www.nytimes.com/2000/02/15/opinion/foreign-affairs-the-hackers-lessons.html,721,24
13 Indicted in Jordan In a bin Laden Case,2/17/00,World,http://www.nytimes.com/2000/02/17/world/13-indicted-in-jordan-in-a-bin-laden-case.html,123,25
Some Charities Suspected of Terrorist Role,2/19/00,World,http://www.nytimes.com/2000/02/19/world/some-charities-suspected-of-terrorist-role.html,1264,26
"THE WORLD: Beirut, Meet Tehran; A Time of Testing for Islamic Zeal",2/20/00,Week in Review,http://www.nytimes.com/2000/02/20/weekinreview/the-world-beirut-meet-tehran-a-time-of-testing-for-islamic-zeal.html,1306,27
Is This Trip Necessary?: Clinton Risks Ire in India or Pakistan,2/22/00,World; Washington,http://www.nytimes.com/2000/02/22/world/is-this-trip-necessary-clinton-risks-ire-in-india-or-pakistan.html,1133,28
"An Afghan Mosaic of Misery: Hunger, War and Repression",2/25/00,World; Front Page,http://www.nytimes.com/2000/02/25/world/an-afghan-mosaic-of-misery-hunger-war-and-repression.html,2142,29
NEWS SUMMARY,2/29/00,New York and Region,http://www.nytimes.com/2000/02/29/nyregion/news-summary-044482.html,1090,30
Foiled Terror Plot On Tourists Linked To bin Laden Aide,2/29/00,World; Front Page,http://www.nytimes.com/2000/02/29/world/foiled-terror-plot-on-tourists-linked-to-bin-laden-aide.html,1529,31
Troubled Trip to Pakistan,3/8/00,Opinion,http://www.nytimes.com/2000/03/08/opinion/troubled-trip-to-pakistan.html,411,32
Death Squad Or Paladins? A Colombian Defends Role,3/12/00,World,http://www.nytimes.com/2000/03/12/world/death-squad-or-paladins-a-colombian-defends-role.html,803,33
EXECUTION SOUGHT IN EMBASSY BLASTS,3/15/00,Front Page; Washington; New York and Region,http://www.nytimes.com/2000/03/15/nyregion/execution-sought-in-embassy-blasts.html,884,34
Poster Boys Of Crime,3/19/00,Week in Review,http://www.nytimes.com/2000/03/19/weekinreview/the-nation-poster-boys-of-crime.html,890,35
U.S. Is Warned On Executions In Terror Case,3/19/00,New York and Region,http://www.nytimes.com/2000/03/19/nyregion/us-is-warned-on-executions-in-terror-case.html,1866,36
Charges Dropped in an Embassy Bombing,3/20/00,World,http://www.nytimes.com/2000/03/20/world/charges-dropped-in-an-embassy-bombing.html,177,37
Report on bin Laden Altered Clinton Plan,3/22/00,World; Washington,http://www.nytimes.com/2000/03/22/world/report-on-bin-laden-altered-clinton-plan.html,176,38
NEWS SUMMARY,3/22/00,New York and Region,http://www.nytimes.com/2000/03/22/nyregion/news-summary-397709.html,881,39
Pakistanis Are Uneasy Over Clinton's Visit,3/25/00,World; Washington,http://www.nytimes.com/2000/03/25/world/pakistanis-are-uneasy-over-clinton-s-visit.html,1049,40
CLINTON ENTREATS PAKISTAN TO TREAD LIGHTLY IN KASHMIR,3/26/00,World; Washington,http://www.nytimes.com/2000/03/26/world/clinton-entreats-pakistan-to-tread-lightly-in-kashmir.html,1375,41
A Little Shop in Pakistan Tunes In to Clinton on TV,3/26/00,World; Washington,http://www.nytimes.com/2000/03/26/world/a-little-shop-in-pakistan-tunes-in-to-clinton-on-tv.html,1057,42
Jordan Indicts 28 In Terror Conspiracy Linked to bin Laden,3/29/00,World,http://www.nytimes.com/2000/03/29/world/jordan-indicts-28-in-terror-conspiracy-linked-to-bin-laden.html,203,43
An Arrest in Embassy Bombings,4/3/00,World,http://www.nytimes.com/2000/04/03/world/an-arrest-in-embassy-bombings.html,251,44
NEWS SUMMARY,4/10/00,New York and Region,http://www.nytimes.com/2000/04/10/nyregion/news-summary-705497.html,1319,45
World Briefing,4/11/00,World,http://www.nytimes.com/2000/04/11/world/world-briefing.html,1198,46
WORLD BRIEFING,4/21/00,World,http://www.nytimes.com/2000/04/21/world/world-briefing.html,909,47
SOUTH ASIA CALLED MAJOR TERROR HUB IN A SURVEY BY U.S.,4/30/00,World; Washington,http://www.nytimes.com/2000/04/30/world/south-asia-called-major-terror-hub-in-a-survey-by-us.html,1596,48
The Bad Guys Are Always With Us,4/30/00,Opinion,http://www.nytimes.com/2000/04/30/opinion/the-bad-guys-are-always-with-us.html,1216,49
World Briefing,5/3/00,World,http://www.nytimes.com/2000/05/03/world/world-briefing.html,902,50
The Changing Face of Terror,5/3/00,Opinion,http://www.nytimes.com/2000/05/03/opinion/the-changing-face-of-terror.html,376,51
Politics of Terrorism,5/6/00,Opinion,http://www.nytimes.com/2000/05/06/opinion/l-politics-of-terrorism-120502.html,119,52
WORLD BRIEFING,5/6/00,World,http://www.nytimes.com/2000/05/06/world/world-briefing.html,966,53
U.S. to Seek Death Penalty In Bombings,5/10/00,Washington; New York and Region,http://www.nytimes.com/2000/05/10/nyregion/us-to-seek-death-penalty-in-bombings.html,847,54
Special-Interest Groups Widening Political Attack Ads,5/14/00,U.S.,http://www.nytimes.com/2000/05/14/us/special-interest-groups-widening-political-attack-ads.html,1305,55
Ad Nauseam,5/15/00,U.S.,http://learning.blogs.nytimes.com/2000/05/15/ad-nauseam/,2970,56
"Seeing Threats Beyond Arms, President Urges Cooperation",5/18/00,World; Washington,http://www.nytimes.com/2000/05/18/world/china-trade-wrangle-clinton-speech-seeing-threats-beyond-arms-president-urges.html,826,57
Russia Warns Afghanistan Not to Aid Rebel Groups,5/25/00,World; Washington,http://www.nytimes.com/2000/05/25/world/russia-warns-afghanistan-not-to-aid-rebel-groups.html,550,58
"In Crippled Afghanistan, a Torturing Drought",6/8/00,World,http://www.nytimes.com/2000/06/08/world/in-crippled-afghanistan-a-torturing-drought.html,1699,59
Pakistan Outlines Plans To Curb Militant Networks,6/10/00,World,http://www.nytimes.com/2000/06/10/world/pakistan-outlines-plans-to-curb-militant-networks.html,824,60
Assad's Legacy: Wielding Terror,6/13/00,Opinion,http://www.nytimes.com/2000/06/13/opinion/l-assad-s-legacy-wielding-terror-724599.html,158,61
U.S. to Seek Death Penalty For 2nd Defendant in Blasts,6/14/00,Washington; New York and Region,http://www.nytimes.com/2000/06/14/nyregion/us-to-seek-death-penalty-for-2nd-defendant-in-blasts.html,708,62
World Briefing,6/17/00,World,http://www.nytimes.com/2000/06/17/world/world-briefing.html,879,63
"Spurned Sudan, Looking for Foreign Support, Says It Has Changed",6/21/00,World; Washington,http://www.nytimes.com/2000/06/21/world/spurned-sudan-looking-for-foreign-support-says-it-has-changed.html,535,64
Americans in Jordan Warned of Possible Peril,6/23/00,World; Washington,http://www.nytimes.com/2000/06/23/world/americans-in-jordan-warned-of-possible-peril.html,254,65
Inside Jihad U.; The Education of a Holy Warrior,6/25/00,Magazine; Washington,http://www.nytimes.com/2000/06/25/magazine/inside-jihad-u-the-education-of-a-holy-warrior.html,7598,66
INSIDE,6/25/00,New York and Region,http://www.nytimes.com/2000/06/25/nyregion/inside-931322.html,289,67
French Hold Suspected Terrorist Tied to bin Laden,6/28/00,World,http://www.nytimes.com/2000/06/28/world/french-hold-suspected-terrorist-tied-to-bin-laden.html,349,68
NEWS SUMMARY,6/28/00,New York and Region,http://www.nytimes.com/2000/06/28/nyregion/news-summary-972223.html,1103,69
"Asserting Coercion, Embassy Bombing Suspect Tries to Suppress Statements",7/13/00,New York and Region,http://www.nytimes.com/2000/07/13/nyregion/asserting-coercion-embassy-bombing-suspect-tries-to-suppress-statements.html,834,70
Terrorism Suspect Waives Extradition Hearing,7/18/00,World,http://www.nytimes.com/2000/07/18/world/terrorism-suspect-waives-extradition-hearing.html,385,71
Russians Join U.S. to Seek New Sanctions On Taliban,8/4/00,World; Washington,http://www.nytimes.com/2000/08/04/world/russians-join-us-to-seek-new-sanctions-on-taliban.html,526,72
WORLD BRIEFING,8/23/00,World,http://www.nytimes.com/2000/08/23/world/world-briefing.html,989,73
World Briefing,8/24/00,World,http://www.nytimes.com/2000/08/24/world/world-briefing.html,1089,74
"As Mideast Talks of Peace, Soft Voice Urges War",8/27/00,World,http://www.nytimes.com/2000/08/27/world/as-mideast-talks-of-peace-soft-voice-urges-war.html,1861,75
U.N. Reports Afghan Curbs Hurt Populace,8/27/00,World; Washington,http://www.nytimes.com/2000/08/27/world/un-reports-afghan-curbs-hurt-populace.html,298,76
Prosecutors Deny Hounding Muslims in Terrorism Case,9/13/00,New York and Region,http://www.nytimes.com/2000/09/13/nyregion/prosecutors-deny-hounding-muslims-in-terrorism-case.html,835,77
NEWS SUMMARY,9/15/00,New York and Region,http://www.nytimes.com/2000/09/15/nyregion/news-summary-161535.html,1291,78
U.S. Puts Uzbek Group on Its Terror List,9/15/00,World; Washington,http://www.nytimes.com/2000/09/15/world/us-puts-uzbek-group-on-its-terror-list.html,778,79
Albright Sits Face to Face With Iranian,9/16/00,World; Washington,http://www.nytimes.com/2000/09/16/world/albright-sits-face-to-face-with-iranian.html,729,80
Metulla Journal; It's Raining Not Rockets but Rocks: This Is Peace?,9/18/00,World,http://www.nytimes.com/2000/09/18/world/metulla-journal-it-s-raining-not-rockets-but-rocks-this-is-peace.html,1228,81
U.S. Officials Play Down Value Of Manual Linked to bin Laden,9/19/00,World,http://www.nytimes.com/2000/09/19/world/us-officials-play-down-value-of-manual-linked-to-bin-laden.html,383,82
"Man Held in Terrorist Plot Agreed to Talk, Agents Say",9/19/00,New York and Region,http://www.nytimes.com/2000/09/19/nyregion/man-held-in-terrorist-plot-agreed-to-talk-agents-say.html,488,83
Taliban Open A Campaign To Gain Status At the U.N.,9/21/00,World,http://www.nytimes.com/2000/09/21/world/taliban-open-a-campaign-to-gain-status-at-the-un.html,720,84
Lawyers Allege Coercion of Witnesses in Terrorism Case,9/26/00,Washington; New York and Region,http://www.nytimes.com/2000/09/26/nyregion/lawyers-allege-coercion-of-witnesses-in-terrorism-case.html,901,85
METRO BRIEFING,9/27/00,New York and Region,http://www.nytimes.com/2000/09/27/nyregion/metro-briefing.html,965,86
Judge Sees No Intimidation by Government in Terrorism Case,10/7/00,New York and Region,http://www.nytimes.com/2000/10/07/nyregion/judge-sees-no-intimidation-by-government-in-terrorism-case.html,437,87
BLAST KILLS SAILORS ON U.S. SHIP IN YEMEN,10/13/00,World; Front Page; Washington,http://www.nytimes.com/2000/10/13/world/the-warship-explosion-the-overview-blast-kills-sailors-on-us-ship-in-yemen.html,1905,88
Navy's Visits to Risky Port Sought Better Ties to Yemen,10/13/00,World; Front Page; Washington,http://www.nytimes.com/2000/10/13/world/warship-explosion-yemen-navy-s-visits-risky-port-sought-better-ties-yemen.html,950,89
Blaming Immigrants,10/14/00,Opinion,http://www.nytimes.com/2000/10/14/opinion/blaming-immigrants.html,340,90
"Toll Rises to 17 in Ship Blast, as U.S. Hunts Suspects",10/14/00,World; Front Page,http://www.nytimes.com/2000/10/14/world/warship-explosion-overview-toll-rises-17-ship-blast-us-hunts-suspects.html,1688,91
"U.S. Officials Tell of Getting Warning Last Month, but Say It Was Too Vague",10/14/00,World,http://www.nytimes.com/2000/10/14/world/whose-holy-land-attack-us-officials-tell-getting-warning-last-month-but-say-it.html,906,92
Iraq Reports Safe Ending To Hijacking Of Saudi Jet,10/15/00,World,http://www.nytimes.com/2000/10/15/world/iraq-reports-safe-ending-to-hijacking-of-saudi-jet.html,773,93
YEMENIS NOW SAY THAT SHIP BLAST WAS CRIMINAL ACT,10/17/00,World; Front Page; Washington,http://www.nytimes.com/2000/10/17/world/yemenis-now-say-that-ship-blast-was-criminal-act.html,1528,94
Case Goes to New York F.B.I. Office,10/17/00,World; Washington,http://www.nytimes.com/2000/10/17/world/case-goes-to-new-york-fbi-office.html,176,95
Ship Bomb Inquiry Focuses on Safe Houses and Deserted Car,10/19/00,World; Washington,http://www.nytimes.com/2000/10/19/world/ship-bomb-inquiry-focuses-on-safe-houses-and-deserted-car.html,1027,96
"Terror Suspect Asked Officer To Kill Him, Interrogator Says",10/19/00,Washington; New York and Region,http://www.nytimes.com/2000/10/19/nyregion/terror-suspect-asked-officer-to-kill-him-interrogator-says.html,775,97
INSIDE,10/20/00,Front Page; New York and Region,http://www.nytimes.com/2000/10/20/nyregion/inside-761990.html,104,98
U.S. Says It Was Warned On Egyptian Islamic Group,10/20/00,World; Washington,http://www.nytimes.com/2000/10/20/world/us-says-it-was-warned-on-egyptian-islamic-group.html,1034,99
Man Charged in Terrorism Asks to Take the Stand,10/20/00,Washington; New York and Region,http://www.nytimes.com/2000/10/20/nyregion/man-charged-in-terrorism-asks-to-take-the-stand.html,534,100
Yemenis Link Bomb Inquiry to Border Region and a Somali,10/20/00,World; Washington,http://www.nytimes.com/2000/10/20/world/yemenis-link-bomb-inquiry-to-border-region-and-a-somali.html,783,101
Tajik Tangle: Odd Alliances Worry Neighbors,10/20/00,World,http://www.nytimes.com/2000/10/20/world/tajik-tangle-odd-alliances-worry-neighbors.html,1242,102
BIN LADEN LINKED TO EMBASSY BLAST BY AN EX-SOLDIER,10/21/00,Front Page; Washington; New York and Region,http://www.nytimes.com/2000/10/21/nyregion/bin-laden-linked-to-embassy-blast-by-an-ex-soldier.html,1385,103
Excerpts From Guilty Plea in Terrorism Case,10/21/00,New York and Region,http://www.nytimes.com/2000/10/21/nyregion/excerpts-from-guilty-plea-in-terrorism-case.html,879,104
NEWS SUMMARY,10/21/00,New York and Region,http://www.nytimes.com/2000/10/21/nyregion/news-summary-783170.html,1048,105
Yemeni and U.S. Teams Focus On Boat Used to Attack Cole,10/22/00,World; Washington,http://www.nytimes.com/2000/10/22/world/yemeni-and-us-teams-focus-on-boat-used-to-attack-cole.html,1150,106
Investigators Discouraging Speculation In Cole Attack,10/23/00,World; Washington,http://www.nytimes.com/2000/10/23/world/investigators-discouraging-speculation-in-cole-attack.html,991,107
"In Terrorism Case, a Plea Bargain Secretly 2 Years in the Making",10/24/00,Washington; New York and Region,http://www.nytimes.com/2000/10/24/nyregion/in-terrorism-case-a-plea-bargain-secretly-2-years-in-the-making.html,954,108
U.S. Military Placed on Highest Alert in Several Hot Spots,10/24/00,World; Washington,http://www.nytimes.com/2000/10/24/world/us-military-placed-on-highest-alert-in-several-hot-spots.html,388,109
No Special Alert for Cole Before Bombing,10/25/00,World,http://www.nytimes.com/2000/10/25/world/no-special-alert-for-cole-before-bombing.html,1161,110
