headline,section,word_count,url,date,id
"As the 'American Century' Extends Its Run,",Washington,1142,http://www.nytimes.com/2000/01/01/washington/visions-power-as-the-american-century-extends-its-run.html,1/1/00,1
Pakistan Welcomes Hijacking's End and Praises the Taliban,World,417,http://www.nytimes.com/2000/01/01/world/pakistan-welcomes-hijacking-s-end-and-praises-the-taliban.html,1/1/00,2
"With Fears Of Terrorism, Precautions Will Continue",World,723,http://www.nytimes.com/2000/01/02/world/the-year-2000-keeping-watch-with-fears-of-terrorism-precautions-will-continue.html,1/2/00,3
The New Face of Terrorism,Opinion,835,http://www.nytimes.com/2000/01/04/opinion/the-new-face-of-terrorism.html,1/4/00,4
New York Experts Taking Wider Role in Terror Inquiry,New York and Region,454,http://www.nytimes.com/2000/01/06/nyregion/new-york-experts-taking-wider-role-in-terror-inquiry.html,1/6/00,5
Terrorists' Support,Opinion,92,http://www.nytimes.com/2000/01/06/opinion/l-terrorists-support-221732.html,1/6/00,6
Judge Upholds Strict Jail Conditions for Suspect in Bin Laden Case,New York and Region,518,http://www.nytimes.com/2000/01/11/nyregion/judge-upholds-strict-jail-conditions-for-suspect-in-bin-laden-case.html,1/11/00,7
Canada Adds Details on Algerians' Suspected Bomb Plot,World,949,http://www.nytimes.com/2000/01/21/world/canada-adds-details-on-algerians-suspected-bomb-plot.html,1/21/00,8
NEWS SUMMARY,New York and Region,865,http://www.nytimes.com/2000/01/23/nyregion/news-summary-482897.html,1/23/00,9
Prosecutors Portray the Strands Of a Bin Laden Web of Terror,World; Washington,1923,http://www.nytimes.com/2000/01/23/world/prosecutors-portray-the-strands-of-a-bin-laden-web-of-terror.html,1/23/00,10
U.S. Asserts Pakistan Backed Hijacking of Air India Jetliner,World; Front Page,1203,http://www.nytimes.com/2000/01/25/world/us-asserts-pakistan-backed-hijacking-of-air-india-jetliner.html,1/25/00,11
"Pakistanis Lost Control Of Militants, U.S. Hints",World; Washington,735,http://www.nytimes.com/2000/01/26/world/pakistanis-lost-control-of-militants-us-hints.html,1/26/00,12
EVIDENCE IS SEEN LINKING BIN LADEN TO ALGERIAN GROUP,World; Front Page; Washington,1080,http://www.nytimes.com/2000/01/27/world/evidence-is-seen-linking-bin-laden-to-algerian-group.html,1/27/00,13
NEWS SUMMARY,New York and Region,1146,http://www.nytimes.com/2000/01/27/nyregion/news-summary-545066.html,1/27/00,14
NEWS SUMMARY,New York and Region,1210,http://www.nytimes.com/2000/01/29/nyregion/news-summary-580368.html,1/29/00,15
Terror Suspect Is Rearrested In Africa at U.S. Request,World,842,http://www.nytimes.com/2000/01/29/world/terror-suspect-is-rearrested-in-africa-at-us-request.html,1/29/00,16
January 23-29; New Focus in Terror Probe,Week in Review,115,http://www.nytimes.com/2000/01/30/weekinreview/january-23-29-new-focus-in-terror-probe.html,1/30/00,17
Jordan Links Terrorist Plot to bin Laden,World; Washington,903,http://www.nytimes.com/2000/02/04/world/jordan-links-terrorist-plot-to-bin-laden.html,2/4/00,18
NEWS SUMMARY,New York and Region,1208,http://www.nytimes.com/2000/02/04/nyregion/news-summary-670103.html,2/4/00,19
C.I.A. Director Emphasizes Differences in Security Cases of Ex-Chief and Scientist,Technology; U.S.,859,http://www.nytimes.com/2000/02/04/us/cia-director-emphasizes-differences-in-security-cases-of-ex-chief-and-scientist.html,2/4/00,20
Afghan Jet Hijacked on Odyssey Across Central Asia to London,World,451,http://www.nytimes.com/2000/02/07/world/afghan-jet-hijacked-on-odyssey-across-central-asia-to-london.html,2/7/00,22
U.S. Court Can Be Large Family and Small World,New York and Region,926,http://www.nytimes.com/2000/02/13/nyregion/reporter-s-notebook-us-court-can-be-large-family-and-small-world.html,2/13/00,23
The Hackers' Lessons,Opinion,721,http://www.nytimes.com/2000/02/15/opinion/foreign-affairs-the-hackers-lessons.html,2/15/00,24
13 Indicted in Jordan In a bin Laden Case,World,123,http://www.nytimes.com/2000/02/17/world/13-indicted-in-jordan-in-a-bin-laden-case.html,2/17/00,25
Some Charities Suspected of Terrorist Role,World,1264,http://www.nytimes.com/2000/02/19/world/some-charities-suspected-of-terrorist-role.html,2/19/00,26
Is This Trip Necessary?: Clinton Risks Ire in India or Pakistan,World; Washington,1133,http://www.nytimes.com/2000/02/22/world/is-this-trip-necessary-clinton-risks-ire-in-india-or-pakistan.html,2/22/00,28
"An Afghan Mosaic of Misery: Hunger, War and Repression",World; Front Page,2142,http://www.nytimes.com/2000/02/25/world/an-afghan-mosaic-of-misery-hunger-war-and-repression.html,2/25/00,29
NEWS SUMMARY,New York and Region,1090,http://www.nytimes.com/2000/02/29/nyregion/news-summary-044482.html,2/29/00,30
Foiled Terror Plot On Tourists Linked To bin Laden Aide,World; Front Page,1529,http://www.nytimes.com/2000/02/29/world/foiled-terror-plot-on-tourists-linked-to-bin-laden-aide.html,2/29/00,31
Troubled Trip to Pakistan,Opinion,411,http://www.nytimes.com/2000/03/08/opinion/troubled-trip-to-pakistan.html,3/8/00,32
Death Squad Or Paladins? A Colombian Defends Role,World,803,http://www.nytimes.com/2000/03/12/world/death-squad-or-paladins-a-colombian-defends-role.html,3/12/00,33
EXECUTION SOUGHT IN EMBASSY BLASTS,Front Page; Washington; New York and Region,884,http://www.nytimes.com/2000/03/15/nyregion/execution-sought-in-embassy-blasts.html,3/15/00,34
Poster Boys Of Crime,Week in Review,890,http://www.nytimes.com/2000/03/19/weekinreview/the-nation-poster-boys-of-crime.html,3/19/00,35
U.S. Is Warned On Executions In Terror Case,New York and Region,1866,http://www.nytimes.com/2000/03/19/nyregion/us-is-warned-on-executions-in-terror-case.html,3/19/00,36
Charges Dropped in an Embassy Bombing,World,177,http://www.nytimes.com/2000/03/20/world/charges-dropped-in-an-embassy-bombing.html,3/20/00,37
Report on bin Laden Altered Clinton Plan,World; Washington,176,http://www.nytimes.com/2000/03/22/world/report-on-bin-laden-altered-clinton-plan.html,3/22/00,38
NEWS SUMMARY,New York and Region,881,http://www.nytimes.com/2000/03/22/nyregion/news-summary-397709.html,3/22/00,39
Pakistanis Are Uneasy Over Clinton's Visit,World; Washington,1049,http://www.nytimes.com/2000/03/25/world/pakistanis-are-uneasy-over-clinton-s-visit.html,3/25/00,40
CLINTON ENTREATS PAKISTAN TO TREAD LIGHTLY IN KASHMIR,World; Washington,1375,http://www.nytimes.com/2000/03/26/world/clinton-entreats-pakistan-to-tread-lightly-in-kashmir.html,3/26/00,41
A Little Shop in Pakistan Tunes In to Clinton on TV,World; Washington,1057,http://www.nytimes.com/2000/03/26/world/a-little-shop-in-pakistan-tunes-in-to-clinton-on-tv.html,3/26/00,42
Jordan Indicts 28 In Terror Conspiracy Linked to bin Laden,World,203,http://www.nytimes.com/2000/03/29/world/jordan-indicts-28-in-terror-conspiracy-linked-to-bin-laden.html,3/29/00,43
An Arrest in Embassy Bombings,World,251,http://www.nytimes.com/2000/04/03/world/an-arrest-in-embassy-bombings.html,4/3/00,44
NEWS SUMMARY,New York and Region,1319,http://www.nytimes.com/2000/04/10/nyregion/news-summary-705497.html,4/10/00,45
World Briefing,World,1198,http://www.nytimes.com/2000/04/11/world/world-briefing.html,4/11/00,46
WORLD BRIEFING,World,909,http://www.nytimes.com/2000/04/21/world/world-briefing.html,4/21/00,47
SOUTH ASIA CALLED MAJOR TERROR HUB IN A SURVEY BY U.S.,World; Washington,1596,http://www.nytimes.com/2000/04/30/world/south-asia-called-major-terror-hub-in-a-survey-by-us.html,4/30/00,48
The Bad Guys Are Always With Us,Opinion,1216,http://www.nytimes.com/2000/04/30/opinion/the-bad-guys-are-always-with-us.html,4/30/00,49
World Briefing,World,902,http://www.nytimes.com/2000/05/03/world/world-briefing.html,5/3/00,50
The Changing Face of Terror,Opinion,376,http://www.nytimes.com/2000/05/03/opinion/the-changing-face-of-terror.html,5/3/00,51
Politics of Terrorism,Opinion,119,http://www.nytimes.com/2000/05/06/opinion/l-politics-of-terrorism-120502.html,5/6/00,52
WORLD BRIEFING,World,966,http://www.nytimes.com/2000/05/06/world/world-briefing.html,5/6/00,53
U.S. to Seek Death Penalty In Bombings,Washington; New York and Region,847,http://www.nytimes.com/2000/05/10/nyregion/us-to-seek-death-penalty-in-bombings.html,5/10/00,54
Special-Interest Groups Widening Political Attack Ads,U.S.,1305,http://www.nytimes.com/2000/05/14/us/special-interest-groups-widening-political-attack-ads.html,5/14/00,55
Ad Nauseam,U.S.,2970,http://learning.blogs.nytimes.com/2000/05/15/ad-nauseam/,5/15/00,56
"Seeing Threats Beyond Arms, President Urges Cooperation",World; Washington,826,http://www.nytimes.com/2000/05/18/world/china-trade-wrangle-clinton-speech-seeing-threats-beyond-arms-president-urges.html,5/18/00,57
Russia Warns Afghanistan Not to Aid Rebel Groups,World; Washington,550,http://www.nytimes.com/2000/05/25/world/russia-warns-afghanistan-not-to-aid-rebel-groups.html,5/25/00,58
Pakistan Outlines Plans To Curb Militant Networks,World,824,http://www.nytimes.com/2000/06/10/world/pakistan-outlines-plans-to-curb-militant-networks.html,6/10/00,60
Assad's Legacy: Wielding Terror,Opinion,158,http://www.nytimes.com/2000/06/13/opinion/l-assad-s-legacy-wielding-terror-724599.html,6/13/00,61
U.S. to Seek Death Penalty For 2nd Defendant in Blasts,Washington; New York and Region,708,http://www.nytimes.com/2000/06/14/nyregion/us-to-seek-death-penalty-for-2nd-defendant-in-blasts.html,6/14/00,62
World Briefing,World,879,http://www.nytimes.com/2000/06/17/world/world-briefing.html,6/17/00,63
"Spurned Sudan, Looking for Foreign Support, Says It Has Changed",World; Washington,535,http://www.nytimes.com/2000/06/21/world/spurned-sudan-looking-for-foreign-support-says-it-has-changed.html,6/21/00,64
Americans in Jordan Warned of Possible Peril,World; Washington,254,http://www.nytimes.com/2000/06/23/world/americans-in-jordan-warned-of-possible-peril.html,6/23/00,65
Inside Jihad U.; The Education of a Holy Warrior,Magazine; Washington,7598,http://www.nytimes.com/2000/06/25/magazine/inside-jihad-u-the-education-of-a-holy-warrior.html,6/25/00,66
INSIDE,New York and Region,289,http://www.nytimes.com/2000/06/25/nyregion/inside-931322.html,6/25/00,67
French Hold Suspected Terrorist Tied to bin Laden,World,349,http://www.nytimes.com/2000/06/28/world/french-hold-suspected-terrorist-tied-to-bin-laden.html,6/28/00,68
NEWS SUMMARY,New York and Region,1103,http://www.nytimes.com/2000/06/28/nyregion/news-summary-972223.html,6/28/00,69
"Asserting Coercion, Embassy Bombing Suspect Tries to Suppress Statements",New York and Region,834,http://www.nytimes.com/2000/07/13/nyregion/asserting-coercion-embassy-bombing-suspect-tries-to-suppress-statements.html,7/13/00,70
Terrorism Suspect Waives Extradition Hearing,World,385,http://www.nytimes.com/2000/07/18/world/terrorism-suspect-waives-extradition-hearing.html,7/18/00,71
Russians Join U.S. to Seek New Sanctions On Taliban,World; Washington,526,http://www.nytimes.com/2000/08/04/world/russians-join-us-to-seek-new-sanctions-on-taliban.html,8/4/00,72
WORLD BRIEFING,World,989,http://www.nytimes.com/2000/08/23/world/world-briefing.html,8/23/00,73
World Briefing,World,1089,http://www.nytimes.com/2000/08/24/world/world-briefing.html,8/24/00,74
U.N. Reports Afghan Curbs Hurt Populace,World; Washington,298,http://www.nytimes.com/2000/08/27/world/un-reports-afghan-curbs-hurt-populace.html,8/27/00,76
Prosecutors Deny Hounding Muslims in Terrorism Case,New York and Region,835,http://www.nytimes.com/2000/09/13/nyregion/prosecutors-deny-hounding-muslims-in-terrorism-case.html,9/13/00,77
NEWS SUMMARY,New York and Region,1291,http://www.nytimes.com/2000/09/15/nyregion/news-summary-161535.html,9/15/00,78
U.S. Puts Uzbek Group on Its Terror List,World; Washington,778,http://www.nytimes.com/2000/09/15/world/us-puts-uzbek-group-on-its-terror-list.html,9/15/00,79
Albright Sits Face to Face With Iranian,World; Washington,729,http://www.nytimes.com/2000/09/16/world/albright-sits-face-to-face-with-iranian.html,9/16/00,80
