headline,date,section,url,word_count
State Dept. Drops Iran as Terrorist Leader,1999-05-01,World; Washington,http://www.nytimes.com/1999/05/01/world/state-dept-drops-iran-as-terrorist-leader.html,761
"Meeting With the Enemy, A Quiet Lawmaker Stirs Talk",1999-05-02,New York and Region,http://www.nytimes.com/1999/05/02/nyregion/on-politics-meeting-with-the-enemy-a-quiet-lawmaker-stirs-talk.html,908
U.S. Frees Assets of Suspect In Embassy Terror Bombings,1999-05-04,World; Washington,http://www.nytimes.com/1999/05/04/world/us-frees-assets-of-suspect-in-embassy-terror-bombings.html,417
NEWS SUMMARY,1999-05-04,New York and Region,http://www.nytimes.com/1999/05/04/nyregion/news-summary-529966.html,1242
"Sheik Abdelaziz bin Baz, Senior Saudi Cleric and Royal Ally",1999-05-14,World; Obituaries,http://www.nytimes.com/1999/05/14/world/sheik-abdelaziz-bin-baz-senior-saudi-cleric-and-royal-ally.html,580
Terror Suspect's Indictment To Be Sought as Talks Fail,1999-05-18,World; Washington,http://www.nytimes.com/1999/05/18/world/terror-suspect-s-indictment-to-be-sought-as-talks-fail.html,774
"U.S. Charges Ex-Soldier, Calling Him Plotter With bin Laden",1999-05-20,World,http://www.nytimes.com/1999/05/20/world/us-charges-ex-soldier-calling-him-plotter-with-bin-laden.html,837
INSIDE,1999-05-20,Front Page; New York and Region,http://www.nytimes.com/1999/05/20/nyregion/inside-781657.html,139
NEWS SUMMARY,1999-05-20,New York and Region,http://www.nytimes.com/1999/05/20/nyregion/news-summary-781258.html,1033
A 6th Suspect Said to Be Tied To bin Laden Is in Custody,1999-05-22,World; Washington,http://www.nytimes.com/1999/05/22/world/a-6th-suspect-said-to-be-tied-to-bin-laden-is-in-custody.html,590
A 6th Suspect Said to Be Tied To bin Laden Is in Custody,1999-05-22,World; Washington,http://www.nytimes.com/1999/05/22/world/a-6th-suspect-said-to-be-tied-to-bin-laden-is-in-custody.html,590
May 16-22; Indictment in Terror Case,1999-05-23,Week in Review,http://www.nytimes.com/1999/05/23/weekinreview/may-16-22-indictment-in-terror-case.html,66
