headline,date,section,url,word_count
Obama Refrains From a Formal ‘I’m Sorry’ to Pakistan,2011-12-01,World,http://www.nytimes.com/2011/12/01/world/middleeast/for-pakistan-no-formal-remorse-yet-from-obama.html,847
"After Duty, Dogs Suffer Like Soldiers",2011-12-02,U.S.,http://www.nytimes.com/2011/12/02/us/more-military-dogs-show-signs-of-combat-stress.html,1095
Can Russia Help Us Withdraw From Afghanistan?,2011-12-02,Opinion,http://www.nytimes.com/2011/12/02/opinion/can-russia-help-us-withdraw-from-afghanistan.html,738
Leader Says Qaeda Holds Abducted American Aid Worker,2011-12-02,World,http://www.nytimes.com/2011/12/02/world/asia/leader-says-qaeda-holds-abducted-american-aid-worker.html,504
Yemen’s Opposition May Be Caught by Its Own Double Game,2011-12-03,World,http://www.nytimes.com/2011/12/03/world/middleeast/yemens-opposition-party-islah-faces-credibility-gap.html,1193
Pakistan Refuses to Help as U.S. Sorts Out a Fatal Attack,2011-12-03,World,http://www.nytimes.com/2011/12/03/world/asia/pakistan-refuses-to-help-as-us-sorts-out-fatal-airstrikes.html,954
I’m Sorry: The Scariest Words in Politics,2011-12-04,Opinion,http://www.nytimes.com/2011/12/04/opinion/sunday/im-sorry-the-scariest-words-in-politics.html,1454
Obama Offers ‘Condolences’ in Deaths of Pakistanis,2011-12-05,World,http://www.nytimes.com/2011/12/05/world/asia/obama-offers-condolences-in-deaths-of-pakistani-troops.html,557
Send in the Clueless,2011-12-05,Opinion,http://www.nytimes.com/2011/12/05/opinion/send-in-the-clueless.html,826
What's On Today,2011-12-05,Arts,http://query.nytimes.com/gst/fullpage.html?res=9E05E7DC1039F936A35751C1A9679D8B63,654
'Girl Walk//All Day': A Conversation With the Director,2011-12-06,Arts,http://artsbeat.blogs.nytimes.com/2011/12/06/girl-walkall-day-a-q-and-a-with-the-director/,1391
'Girl Walk//All Day': A Conversation With the Director,2011-12-06,Arts,http://artsbeat.blogs.nytimes.com/2011/12/06/girl-walkall-day-a-q-and-a-with-the-director/,1348
