headline,date,url
Confident Bush Takes No Risks In First Debate,12/3/99,http://www.nytimes.com/1999/12/03/us/the-republican-debate-the-overview-confident-bush-takes-no-risks-in-first-debate.html
NEWS SUMMARY,12/4/99,http://www.nytimes.com/1999/12/04/nyregion/news-summary-736929.html
Bush Has Tough Words and Rough Enunciation for Iraqi Chief,12/4/99,http://www.nytimes.com/1999/12/04/us/bush-has-tough-words-and-rough-enunciation-for-iraqi-chief.html
A Young Mayor Stands Out Among Serbia's Opposition,12/6/99,http://www.nytimes.com/1999/12/06/world/a-young-mayor-stands-out-among-serbia-s-opposition.html
Iraq Opens a War of Words Against Its French Friends,12/6/99,http://www.nytimes.com/1999/12/06/world/iraq-opens-a-war-of-words-against-its-french-friends.html
"As U.N. Nears Action on Iraq, Inspections Remain Unsettled",12/10/99,http://www.nytimes.com/1999/12/10/world/as-un-nears-action-on-iraq-inspections-remain-unsettled.html
Rhetoric and Reality on Iraq,12/10/99,http://www.nytimes.com/1999/12/10/opinion/rhetoric-and-reality-on-iraq.html
U.S. Is Trying To Put Teeth In Inspections Of Iraq Arms,12/11/99,http://www.nytimes.com/1999/12/11/world/us-is-trying-to-put-teeth-in-inspections-of-iraq-arms.html
Iraq Rules Out a Visit by the Pope; Political Factors Are Cited,12/11/99,http://www.nytimes.com/1999/12/11/world/iraq-rules-out-a-visit-by-the-pope-political-factors-are-cited.html
WORLD BRIEFING,12/11/99,http://www.nytimes.com/1999/12/11/world/world-briefing.html
Security Council Backs Off Again on Vote on Inspections for Iraq,12/14/99,http://www.nytimes.com/1999/12/14/world/security-council-backs-off-again-on-vote-on-inspections-for-iraq.html
France Halts U.N. Debate On Monitors For Iraqi Arms,12/15/99,http://www.nytimes.com/1999/12/15/world/france-halts-un-debate-on-monitors-for-iraqi-arms.html
French Stalling on Iraq,12/16/99,http://www.nytimes.com/1999/12/16/opinion/french-stalling-on-iraq.html
Barring of Uranium Inspectors Raises New Concern Over Iraq,12/16/99,http://www.nytimes.com/1999/12/16/world/barring-of-uranium-inspectors-raises-new-concern-over-iraq.html
NEWS SUMMARY,12/16/99,http://www.nytimes.com/1999/12/16/nyregion/news-summary-917230.html
France Seeks Unified Vote at the U.N. on Iraq Arms Inspections,12/17/99,http://www.nytimes.com/1999/12/17/world/france-seeks-unified-vote-at-the-un-on-iraq-arms-inspections.html
NEWS SUMMARY,12/18/99,http://www.nytimes.com/1999/12/18/nyregion/news-summary-086827.html
Divided U.N. Council Approves New Iraq Arms Inspection Plan,12/18/99,http://www.nytimes.com/1999/12/18/world/divided-un-council-approves-new-iraq-arms-inspection-plan.html
Foreign Affairs; Saddam Does Vegas,12/19/99,http://www.nytimes.com/1999/12/19/opinion/foreign-affairs-saddam-does-vegas.html
Iraq Rejects U.N. Decision to Create New Arms Inspection Plan,12/19/99,http://www.nytimes.com/1999/12/19/world/iraq-rejects-un-decision-to-create-new-arms-inspection-plan.html
A Cadre of Familiar Foreign Policy Experts Is Putting Its Imprint on Bush,12/23/99,http://www.nytimes.com/1999/12/23/us/a-cadre-of-familiar-foreign-policy-experts-is-putting-its-imprint-on-bush.html
"Gore, in Iowa, Duels an Absent Bradley",12/23/99,http://www.nytimes.com/1999/12/23/us/gore-in-iowa-duels-an-absent-bradley.html
Next Steps on Iraq,12/25/99,http://www.nytimes.com/1999/12/25/opinion/next-steps-on-iraq.html
The World; America Moves Apart From the U.N. on Iraq,12/26/99,http://www.nytimes.com/1999/12/26/weekinreview/the-world-america-moves-apart-from-the-un-on-iraq.html
Hussein Honors a Half-Brother Thought to Be in Living in Exile,12/29/99,http://www.nytimes.com/1999/12/29/world/hussein-honors-a-half-brother-thought-to-be-in-living-in-exile.html
WORLD BRIEFING,12/30/99,http://www.nytimes.com/1999/12/30/world/world-briefing.html
"Kofi Annan Unsettles People, As He Believes U.N. Should Do",12/31/99,http://www.nytimes.com/1999/12/31/world/kofi-annan-unsettles-people-as-he-believes-un-should-do.html
2000 and Beyond -- The Shape of an Age to Come,1/1/00,http://www.nytimes.com/2000/01/01/opinion/2000-and-beyond-the-shape-of-an-age-to-come.html
American Leadership at the U.N.,1/4/00,http://www.nytimes.com/2000/01/04/opinion/american-leadership-at-the-un.html
WORLD BRIEFING,1/6/00,http://www.nytimes.com/2000/01/06/world/world-briefing.html
Two Democrats In Debate Back Gays in Military,1/6/00,http://www.nytimes.com/2000/01/06/us/two-democrats-in-debate-back-gays-in-military.html
Excerpts From Comments by Gore and Bradley at Forum for Candidates,1/6/00,http://www.nytimes.com/2000/01/06/us/excerpts-from-comments-by-gore-and-bradley-at-forum-for-candidates.html
"After Standoff, Iraq Agrees to Admit a Nuclear Inspection Team",1/13/00,http://www.nytimes.com/2000/01/13/world/after-standoff-iraq-agrees-to-admit-a-nuclear-inspection-team.html
Annan Picks Ex-Arms Inspector To Head Iraq Monitoring Panel,1/18/00,http://www.nytimes.com/2000/01/18/world/annan-picks-ex-arms-inspector-to-head-iraq-monitoring-panel.html
Security Council Stalling on Iraq,1/19/00,http://www.nytimes.com/2000/01/19/opinion/security-council-stalling-on-iraq.html
U.S. Criticizes U.N. Backers Of Iraq's 'No' To Appointee,1/20/00,http://www.nytimes.com/2000/01/20/world/us-criticizes-un-backers-of-iraq-s-no-to-appointee.html
NEWS SUMMARY,1/20/00,http://www.nytimes.com/2000/01/20/nyregion/news-summary-436585.html
WORLD BRIEFING,1/21/00,http://www.nytimes.com/2000/01/21/world/world-briefing.html
A Texas Oilman Bows Out,1/23/00,http://www.nytimes.com/2000/01/23/business/private-sector-a-texas-oilman-bows-out.html
New Expert Proposed as Iraq Arms Monitor,1/26/00,http://www.nytimes.com/2000/01/26/world/new-expert-proposed-as-iraq-arms-monitor.html
U.N. Names Ex-Head of Atomic Energy Agency to Lead Iraq Monitoring,1/27/00,http://www.nytimes.com/2000/01/27/world/un-names-ex-head-of-atomic-energy-agency-to-lead-iraq-monitoring.html
State of the President,1/27/00,http://www.nytimes.com/2000/01/27/opinion/state-of-the-president.html
A Disappointing Choice on Iraq,1/27/00,http://www.nytimes.com/2000/01/27/opinion/a-disappointing-choice-on-iraq.html
Iraqis Seem Less Hostile to New Weapons Inspector,1/28/00,http://www.nytimes.com/2000/01/28/world/iraqis-seem-less-hostile-to-new-weapons-inspector.html
NEWS SUMMARY,1/28/00,http://www.nytimes.com/2000/01/28/nyregion/news-summary-563188.html
McCain Turns Up the Heat a Notch on Bush,1/31/00,http://www.nytimes.com/2000/01/31/us/the-2000-campaign-the-republicans-mccain-turns-up-the-heat-a-notch-on-bush.html
Signs of Iraqi Arms Buildup Bedevil U.S. Administration,2/1/00,http://www.nytimes.com/2000/02/01/world/signs-of-iraqi-arms-buildup-bedevil-us-administration.html
Nuclear Anxieties In a New World,2/5/00,http://www.nytimes.com/2000/02/05/arts/nuclear-anxieties-in-a-new-world.html
Flying Blind in A Dangerous World,2/6/00,http://www.nytimes.com/2000/02/06/weekinreview/the-world-flying-blind-in-a-dangerous-world.html
Iraq Suspected of Secret Germ War Effort,2/8/00,http://www.nytimes.com/2000/02/08/world/iraq-suspected-of-secret-germ-war-effort.html
"Hijackers Still Hold Jet, But Make No Demands",2/9/00,http://www.nytimes.com/2000/02/09/world/hijackers-still-hold-jet-but-make-no-demands.html
The Enemy Of Our Enemy,2/20/00,http://www.nytimes.com/2000/02/20/magazine/the-enemy-of-our-enemy.html
Pope Makes Virtual Visit To Iraqi Site He Must Skip,2/24/00,http://www.nytimes.com/2000/02/24/world/pope-makes-virtual-visit-to-iraqi-site-he-must-skip.html
Foreign Affairs; A Rogue Worth Knowing,2/25/00,http://www.nytimes.com/2000/02/25/opinion/foreign-affairs-a-rogue-worth-knowing.html
NEWS SUMMARY,2/29/00,http://www.nytimes.com/2000/02/29/nyregion/news-summary-044482.html
"Annan Wants U.N., Not Saddam, to Control Money for Mecca",2/29/00,http://www.nytimes.com/2000/02/29/world/annan-wants-un-not-saddam-to-control-money-for-mecca.html
New Arms Chief Will Hold Iraq To Inspections,3/2/00,http://www.nytimes.com/2000/03/02/world/new-arms-chief-will-hold-iraq-to-inspections.html
NEWS SUMMARY,3/2/00,http://www.nytimes.com/2000/03/02/nyregion/news-summary-080543.html
"3 Candidates, 2 Sites, 1 Debate: Excerpts From the G.O.P. Exchange",3/3/00,http://www.nytimes.com/2000/03/03/us/the-2000-campaign-3-candidates-2-sites-1-debate-excerpts-from-the-gop-exchange.html
Silent Minority,3/5/00,http://www.nytimes.com/2000/03/05/books/silent-minority.html
Sending Out a Search Party for the Western,3/5/00,http://www.nytimes.com/2000/03/05/movies/film-sending-out-a-search-party-for-the-western.html
World Briefing,3/9/00,http://www.nytimes.com/2000/03/09/world/world-briefing.html
17 Arms Experts Are Named for U.N. Panel on Disarming Iraq,3/9/00,http://www.nytimes.com/2000/03/09/world/17-arms-experts-are-named-for-un-panel-on-disarming-iraq.html
"Living the Faith, Seeking a Home in Suburbia",3/12/00,http://www.nytimes.com/2000/03/12/nyregion/living-the-faith-seeking-a-home-in-suburbia.html
The Magic Blue Blazer vs. an Oily Patch of Bad Luck,3/13/00,http://www.nytimes.com/2000/03/13/us/public-lives-the-magic-blue-blazer-vs-an-oily-patch-of-bad-luck.html
U.N. Chief Assesses Benefits to Iraq of Oil-for-Food Program,3/15/00,http://www.nytimes.com/2000/03/15/world/un-chief-assesses-benefits-to-iraq-of-oil-for-food-program.html
Major Overture Toward Iran Expected in Speech by Albright,3/17/00,http://www.nytimes.com/2000/03/17/world/major-overture-toward-iran-expected-in-speech-by-albright.html
U.S. ENDING A FEW OF THE SANCTIONS IMPOSED ON IRAN,3/18/00,http://www.nytimes.com/2000/03/18/world/us-ending-a-few-of-the-sanctions-imposed-on-iran.html
"Iraq Builds Base for Rebels Fighting Iran, U.S. Contends",3/24/00,http://www.nytimes.com/2000/03/24/world/iraq-builds-base-for-rebels-fighting-iran-us-contends.html
"Smuggling of Iraqi Oil Is Rising, U.N. Is Told",3/24/00,http://www.nytimes.com/2000/03/24/world/smuggling-of-iraqi-oil-is-rising-un-is-told.html
NEWS SUMMARY,3/25/00,http://www.nytimes.com/2000/03/25/nyregion/news-summary-453153.html
Annan Exhorts U.N. Council on 'Oil for Food' for Iraqis,3/25/00,http://www.nytimes.com/2000/03/25/world/annan-exhorts-un-council-on-oil-for-food-for-iraqis.html
Younger Bush Looks to Father's Image Burnisher,3/26/00,http://www.nytimes.com/2000/03/26/us/younger-bush-looks-to-father-s-image-burnisher.html
Istanbul Journal; Where the Mighty Splash (Even Qaddafi's Camels),3/27/00,http://www.nytimes.com/2000/03/27/world/istanbul-journal-where-the-mighty-splash-even-qaddafi-s-camels.html
WORLD BRIEFING,3/28/00,http://www.nytimes.com/2000/03/28/world/world-briefing.html
World Briefing,3/29/00,http://www.nytimes.com/2000/03/29/world/world-briefing.html
When the Age of Courtship Ends,3/29/00,http://www.nytimes.com/2000/03/29/jobs/life-s-work-when-the-age-of-courtship-ends.html
World Briefing,3/31/00,http://www.nytimes.com/2000/03/31/world/world-briefing.html
Security Council Votes to Let Iraq Buy Oil Gear,4/1/00,http://www.nytimes.com/2000/04/01/world/security-council-votes-to-let-iraq-buy-oil-gear.html
'Three Kings' In Hindsight,4/7/00,http://www.nytimes.com/2000/04/07/movies/home-video-three-kings-in-hindsight.html
Venezuelan Calls Tune In OPEC's Price Tactics,4/7/00,http://www.nytimes.com/2000/04/07/world/venezuelan-calls-tune-in-opec-s-price-tactics.html
U.N. Gets a New Proposal For Iraq Arms Inspections,4/7/00,http://www.nytimes.com/2000/04/07/world/un-gets-a-new-proposal-for-iraq-arms-inspections.html
